"","sample_name","name","age","sex","max_age","rel_age","species","scientific_name"
"1","1","AC_001",5,"Male",25,0.2,"AC","Gadus morhua"
"2","2","AC_002",1,"Male",25,0.04,"AC","Gadus morhua"
"3","3","AC_003",7,"Male",25,0.28,"AC","Gadus morhua"
"4","4","AC_004",3,"Female",25,0.12,"AC","Gadus morhua"
"5","5","AC_005",2,"unknown",25,0.08,"AC","Gadus morhua"
"6","6","AC_006",1,"Female",25,0.04,"AC","Gadus morhua"
"7","7","AC_007",1,"Female",25,0.04,"AC","Gadus morhua"
"8","8","AC_008",3,"Female",25,0.12,"AC","Gadus morhua"
"9","9","AC_009",1,"Male",25,0.04,"AC","Gadus morhua"
"10","10","AC_010",1,"Female",25,0.04,"AC","Gadus morhua"
"11","11","AC_011",2,"Male",25,0.08,"AC","Gadus morhua"
"12","12","AC_012",3,"Female",25,0.12,"AC","Gadus morhua"
"13","13","AC_013",1,"Female",25,0.04,"AC","Gadus morhua"
"14","14","AC_014",1,"Female",25,0.04,"AC","Gadus morhua"
"15","15","AC_015",2,"Female",25,0.08,"AC","Gadus morhua"
"16","16","AC_016",2,"Female",25,0.08,"AC","Gadus morhua"
"17","17","AC_017",2,"Female",25,0.08,"AC","Gadus morhua"
"18","18","AC_018",1,"Female",25,0.04,"AC","Gadus morhua"
"19","19","AC_019",1,"Female",25,0.04,"AC","Gadus morhua"
"20","20","AC_020",1,"Female",25,0.04,"AC","Gadus morhua"
"21","21","AC_021",0,"Female",25,0,"AC","Gadus morhua"
"22","22","AC_022",0,"Male",25,0,"AC","Gadus morhua"
"23","23","AC_023",1,"Male",25,0.04,"AC","Gadus morhua"
"24","24","AC_024",4,"Male",25,0.16,"AC","Gadus morhua"
"25","25","AC_025",1,"Female",25,0.04,"AC","Gadus morhua"
"26","26","AC_026",1,"Male",25,0.04,"AC","Gadus morhua"
"27","27","AC_027",2,"Male",25,0.08,"AC","Gadus morhua"
"28","28","AC_028",4,"Male",25,0.16,"AC","Gadus morhua"
"29","29","AC_029",0,"Female",25,0,"AC","Gadus morhua"
"30","30","AC_030",4,"Female",25,0.16,"AC","Gadus morhua"
"31","31","AC_031",6,"Female",25,0.24,"AC","Gadus morhua"
"32","32","AC_032",5,"Male",25,0.2,"AC","Gadus morhua"
"33","33","AC_033",6,"Male",25,0.24,"AC","Gadus morhua"
"34","34","AC_034",1,"Female",25,0.04,"AC","Gadus morhua"
"35","35","AC_035",4,"Female",25,0.16,"AC","Gadus morhua"
"36","36","AC_036",7,"Male",25,0.28,"AC","Gadus morhua"
"37","37","AC_037",2,"Female",25,0.08,"AC","Gadus morhua"
"38","38","AC_038",2,"Female",25,0.08,"AC","Gadus morhua"
"39","39","AC_039",1,"Male",25,0.04,"AC","Gadus morhua"
"40","40","AC_040",3,"Female",25,0.12,"AC","Gadus morhua"
"41","41","AC_041",4,"Female",25,0.16,"AC","Gadus morhua"
"42","42","AC_042",0,"Female",25,0,"AC","Gadus morhua"
"43","43","AC_043",4,"Male",25,0.16,"AC","Gadus morhua"
"44","44","AC_044",3,"Male",25,0.12,"AC","Gadus morhua"
"45","45","AC_045",0,"Male",25,0,"AC","Gadus morhua"
"46","46","AC_046",4,"Male",25,0.16,"AC","Gadus morhua"
"47","47","AC_047",3,"Female",25,0.12,"AC","Gadus morhua"
"48","48","AC_048",5,"Female",25,0.2,"AC","Gadus morhua"
"49","49","AC_049",4,"Female",25,0.16,"AC","Gadus morhua"
"50","50","AC_050",5,"Male",25,0.2,"AC","Gadus morhua"
"51","51","AC_051",0,"unknown",25,0,"AC","Gadus morhua"
"52","52","AC_052",4,"Male",25,0.16,"AC","Gadus morhua"
"53","53","AC_053",3,"Female",25,0.12,"AC","Gadus morhua"
"54","54","AC_054",3,"Female",25,0.12,"AC","Gadus morhua"
"55","55","AC_055",0,"Female",25,0,"AC","Gadus morhua"
"56","56","AC_056",1,"Female",25,0.04,"AC","Gadus morhua"
"57","57","AC_057",1,"Male",25,0.04,"AC","Gadus morhua"
"58","58","AC_058",1,"Female",25,0.04,"AC","Gadus morhua"
"59","59","AC_059",1,"Female",25,0.04,"AC","Gadus morhua"
"60","60","AC_060",1,"Male",25,0.04,"AC","Gadus morhua"
"61","61","AC_061",1,"Female",25,0.04,"AC","Gadus morhua"
"62","62","AC_062",1,"Male",25,0.04,"AC","Gadus morhua"
"63","63","AC_063",1,"Female",25,0.04,"AC","Gadus morhua"
"64","64","AC_064",1,"Male",25,0.04,"AC","Gadus morhua"
"65","65","AC_065",1,"Male",25,0.04,"AC","Gadus morhua"
"66","66","AC_066",1,"Female",25,0.04,"AC","Gadus morhua"
"67","67","AC_067",1,"Male",25,0.04,"AC","Gadus morhua"
"68","68","AC_068",1,"Male",25,0.04,"AC","Gadus morhua"
"69","69","AC_069",1,"Female",25,0.04,"AC","Gadus morhua"
"70","70","AC_070",1,"Male",25,0.04,"AC","Gadus morhua"
"71","71","AC_071",1,"Female",25,0.04,"AC","Gadus morhua"
