"","sample_name","name","age","sex","max_age","rel_age","species","scientific_name"
"1","y10m4r1","AS_001",10.3,"unknown",54,0.190740740740741,"AS","Chrysophrys auratus"
"2","y10m4r2","AS_002",10.3,"unknown",54,0.190740740740741,"AS","Chrysophrys auratus"
"3","y10m4r3","AS_003",10.3,"unknown",54,0.190740740740741,"AS","Chrysophrys auratus"
"4","y10m4r4","AS_004",10.3,"unknown",54,0.190740740740741,"AS","Chrysophrys auratus"
"5","y10m4r5","AS_005",10.3,"unknown",54,0.190740740740741,"AS","Chrysophrys auratus"
"6","y10m4r6","AS_006",10.3,"unknown",54,0.190740740740741,"AS","Chrysophrys auratus"
"7","y10m4r7","AS_007",10.3,"unknown",54,0.190740740740741,"AS","Chrysophrys auratus"
"8","y11m5r10","AS_008",11.4,"unknown",54,0.211111111111111,"AS","Chrysophrys auratus"
"9","y11m5r1","AS_009",11.4,"unknown",54,0.211111111111111,"AS","Chrysophrys auratus"
"10","y11m5r2","AS_010",11.4,"unknown",54,0.211111111111111,"AS","Chrysophrys auratus"
"11","y11m5r3","AS_011",11.4,"unknown",54,0.211111111111111,"AS","Chrysophrys auratus"
"12","y11m5r4","AS_012",11.4,"unknown",54,0.211111111111111,"AS","Chrysophrys auratus"
"13","y11m5r5","AS_013",11.4,"unknown",54,0.211111111111111,"AS","Chrysophrys auratus"
"14","y11m5r6","AS_014",11.4,"unknown",54,0.211111111111111,"AS","Chrysophrys auratus"
"15","y11m5r7","AS_015",11.4,"unknown",54,0.211111111111111,"AS","Chrysophrys auratus"
"16","y11m5r8","AS_016",11.4,"unknown",54,0.211111111111111,"AS","Chrysophrys auratus"
"17","y11m5r9","AS_017",11.4,"unknown",54,0.211111111111111,"AS","Chrysophrys auratus"
"18","y6m4r1","AS_018",6.3,"unknown",54,0.116666666666667,"AS","Chrysophrys auratus"
"19","y6m4r2","AS_019",6.3,"unknown",54,0.116666666666667,"AS","Chrysophrys auratus"
"20","y6m4r3","AS_020",6.3,"unknown",54,0.116666666666667,"AS","Chrysophrys auratus"
"21","y6m4r4","AS_021",6.3,"unknown",54,0.116666666666667,"AS","Chrysophrys auratus"
"22","y6m4r5","AS_022",6.3,"unknown",54,0.116666666666667,"AS","Chrysophrys auratus"
"23","y7m4r1","AS_023",7.3,"unknown",54,0.135185185185185,"AS","Chrysophrys auratus"
"24","y7m4r2","AS_024",7.3,"unknown",54,0.135185185185185,"AS","Chrysophrys auratus"
"25","y7m4r3","AS_025",7.3,"unknown",54,0.135185185185185,"AS","Chrysophrys auratus"
"26","y7m4r4","AS_026",7.3,"unknown",54,0.135185185185185,"AS","Chrysophrys auratus"
"27","y7m4r5","AS_027",7.3,"unknown",54,0.135185185185185,"AS","Chrysophrys auratus"
"28","y7m4r6","AS_028",7.3,"unknown",54,0.135185185185185,"AS","Chrysophrys auratus"
"29","y7m4r7","AS_029",7.3,"unknown",54,0.135185185185185,"AS","Chrysophrys auratus"
"30","y7m4r8","AS_030",7.3,"unknown",54,0.135185185185185,"AS","Chrysophrys auratus"
"31","y7m4r9","AS_031",7.3,"unknown",54,0.135185185185185,"AS","Chrysophrys auratus"
"32","y5m10r10","AS_032",5.8,"unknown",54,0.107407407407407,"AS","Chrysophrys auratus"
"33","y5m10r1","AS_033",5.8,"unknown",54,0.107407407407407,"AS","Chrysophrys auratus"
"34","y5m10r2","AS_034",5.8,"unknown",54,0.107407407407407,"AS","Chrysophrys auratus"
"35","y5m10r3","AS_035",5.8,"unknown",54,0.107407407407407,"AS","Chrysophrys auratus"
"36","y5m10r4","AS_036",5.8,"unknown",54,0.107407407407407,"AS","Chrysophrys auratus"
