"","sample_name","name","age","sex","max_age","rel_age","species","scientific_name"
"1","1","EH_001",3,"Female",20,0.15,"EH","Merluccius merluccius"
"2","2","EH_002",2,"Female",20,0.1,"EH","Merluccius merluccius"
"3","3","EH_003",3,"Female",20,0.15,"EH","Merluccius merluccius"
"4","4","EH_004",3,"Female",20,0.15,"EH","Merluccius merluccius"
"5","5","EH_005",3,"Female",20,0.15,"EH","Merluccius merluccius"
"6","6","EH_006",3,"Female",20,0.15,"EH","Merluccius merluccius"
"7","7","EH_007",3,"Female",20,0.15,"EH","Merluccius merluccius"
"8","8","EH_008",3,"Female",20,0.15,"EH","Merluccius merluccius"
"9","10","EH_009",3,"Female",20,0.15,"EH","Merluccius merluccius"
"10","11","EH_010",3,"Female",20,0.15,"EH","Merluccius merluccius"
"11","13","EH_011",4,"Female",20,0.2,"EH","Merluccius merluccius"
"12","14","EH_012",4,"Female",20,0.2,"EH","Merluccius merluccius"
"13","15","EH_013",3,"Female",20,0.15,"EH","Merluccius merluccius"
"14","17","EH_014",2,"Female",20,0.1,"EH","Merluccius merluccius"
"15","18","EH_015",2,"Male",20,0.1,"EH","Merluccius merluccius"
"16","19","EH_016",5,"Female",20,0.25,"EH","Merluccius merluccius"
"17","20","EH_017",4,"Female",20,0.2,"EH","Merluccius merluccius"
"18","21","EH_018",3,"Female",20,0.15,"EH","Merluccius merluccius"
"19","22","EH_019",4,"Female",20,0.2,"EH","Merluccius merluccius"
"20","23","EH_020",5,"Female",20,0.25,"EH","Merluccius merluccius"
"21","24","EH_021",5,"Female",20,0.25,"EH","Merluccius merluccius"
"22","25","EH_022",4,"Female",20,0.2,"EH","Merluccius merluccius"
"23","26","EH_023",4,"Female",20,0.2,"EH","Merluccius merluccius"
"24","27","EH_024",4,"Female",20,0.2,"EH","Merluccius merluccius"
"25","28","EH_025",4,"Female",20,0.2,"EH","Merluccius merluccius"
"26","29","EH_026",5,"Female",20,0.25,"EH","Merluccius merluccius"
"27","30","EH_027",5,"Female",20,0.25,"EH","Merluccius merluccius"
"28","31","EH_028",5,"Female",20,0.25,"EH","Merluccius merluccius"
"29","32","EH_029",5,"Female",20,0.25,"EH","Merluccius merluccius"
"30","33","EH_030",5,"Female",20,0.25,"EH","Merluccius merluccius"
"31","34","EH_031",1,"Male",20,0.05,"EH","Merluccius merluccius"
"32","35","EH_032",2,"Male",20,0.1,"EH","Merluccius merluccius"
"33","36","EH_033",2,"Male",20,0.1,"EH","Merluccius merluccius"
"34","37","EH_034",2,"Male",20,0.1,"EH","Merluccius merluccius"
"35","38","EH_035",2,"Male",20,0.1,"EH","Merluccius merluccius"
"36","39","EH_036",2,"Male",20,0.1,"EH","Merluccius merluccius"
"37","40","EH_037",2,"Male",20,0.1,"EH","Merluccius merluccius"
"38","41","EH_038",2,"Male",20,0.1,"EH","Merluccius merluccius"
"39","43","EH_039",2,"Male",20,0.1,"EH","Merluccius merluccius"
"40","44","EH_040",2,"Male",20,0.1,"EH","Merluccius merluccius"
"41","45","EH_041",2,"Male",20,0.1,"EH","Merluccius merluccius"
"42","46","EH_042",2,"Male",20,0.1,"EH","Merluccius merluccius"
"43","47","EH_043",1,"Male",20,0.05,"EH","Merluccius merluccius"
"44","48","EH_044",1,"Male",20,0.05,"EH","Merluccius merluccius"
"45","49","EH_045",1,"Male",20,0.05,"EH","Merluccius merluccius"
"46","50","EH_046",1,"Male",20,0.05,"EH","Merluccius merluccius"
"47","51","EH_047",1,"Male",20,0.05,"EH","Merluccius merluccius"
"48","53","EH_048",2,"Female",20,0.1,"EH","Merluccius merluccius"
"49","56","EH_049",1,"Female",20,0.05,"EH","Merluccius merluccius"
"50","59","EH_050",1,"Female",20,0.05,"EH","Merluccius merluccius"
"51","60","EH_051",2,"Female",20,0.1,"EH","Merluccius merluccius"
"52","61","EH_052",2,"Female",20,0.1,"EH","Merluccius merluccius"
"53","62","EH_053",1,"Female",20,0.05,"EH","Merluccius merluccius"
"54","63","EH_054",1,"Female",20,0.05,"EH","Merluccius merluccius"
"55","64","EH_055",1,"Female",20,0.05,"EH","Merluccius merluccius"
"56","65","EH_056",1,"Female",20,0.05,"EH","Merluccius merluccius"
"57","80","EH_057",6,"Female",20,0.3,"EH","Merluccius merluccius"
"58","81","EH_058",3,"Female",20,0.15,"EH","Merluccius merluccius"
"59","82","EH_059",4,"Female",20,0.2,"EH","Merluccius merluccius"
"60","83","EH_060",4,"Female",20,0.2,"EH","Merluccius merluccius"
"61","84","EH_061",4,"Female",20,0.2,"EH","Merluccius merluccius"
"62","85","EH_062",3,"Female",20,0.15,"EH","Merluccius merluccius"
"63","86","EH_063",3,"Female",20,0.15,"EH","Merluccius merluccius"
"64","87","EH_064",3,"Female",20,0.15,"EH","Merluccius merluccius"
"65","88","EH_065",3,"Female",20,0.15,"EH","Merluccius merluccius"
"66","89","EH_066",3,"Female",20,0.15,"EH","Merluccius merluccius"
"67","90","EH_067",3,"Female",20,0.15,"EH","Merluccius merluccius"
"68","92","EH_068",3,"Female",20,0.15,"EH","Merluccius merluccius"
"69","95","EH_069",3,"Female",20,0.15,"EH","Merluccius merluccius"
"70","96","EH_070",3,"Male",20,0.15,"EH","Merluccius merluccius"
"71","98","EH_071",3,"Female",20,0.15,"EH","Merluccius merluccius"
"72","99","EH_072",3,"Female",20,0.15,"EH","Merluccius merluccius"
"73","100","EH_073",3,"Male",20,0.15,"EH","Merluccius merluccius"
"74","102","EH_074",3,"Male",20,0.15,"EH","Merluccius merluccius"
"75","105","EH_075",3,"Male",20,0.15,"EH","Merluccius merluccius"
"76","106","EH_076",4,"Male",20,0.2,"EH","Merluccius merluccius"
"77","107","EH_077",4,"Female",20,0.2,"EH","Merluccius merluccius"
