"","Chr","seq_names","pos_rgenome","pos_seq","pos_align","width_align","chr_align","aligned","seq_number","SMR","species"
"1","AC_1","AC_1_16904223:16905327",16904723,-81,130359611,244,"NC_000010.11",FALSE,"seq_001","SMR_026","AC"
"3","AC_1","AC_1_16904223:16905327",16904827,23,130359715,244,"NC_000010.11",TRUE,"seq_001","SMR_026","AC"
"4","AC_10","AC_10_7338686:7339686",7339186,-100,130359638,164,"NC_000010.11",FALSE,"seq_002","SMR_026","AC"
"5","AC_14","AC_14_19191922:19192964",19192422,475,130360755,373,"NC_000010.11",FALSE,"seq_003","SMR_026","AC"
"6","AC_14","AC_14_19191922:19192964",19192464,517,130360797,373,"NC_000010.11",FALSE,"seq_003","SMR_026","AC"
"9","AC_15","AC_15_18871494:18872567",18872054,-259,130359165,149,"NC_000010.11",FALSE,"seq_004","SMR_026","AC"
"10","AC_15","AC_15_18871494:18872567",18872067,-246,130359178,149,"NC_000010.11",FALSE,"seq_004","SMR_026","AC"
"11","AC_16","AC_16_7811062:7812194",7811562,-333,130359075,298,"NC_000010.11",FALSE,"seq_005","SMR_026","AC"
"12","AC_16","AC_16_7811062:7812194",7811575,-320,130359088,298,"NC_000010.11",FALSE,"seq_005","SMR_026","AC"
"13","AC_16","AC_16_7811062:7812194",7811660,-235,130359173,298,"NC_000010.11",FALSE,"seq_005","SMR_026","AC"
"14","AC_16","AC_16_7811062:7812194",7811694,-201,130359207,298,"NC_000010.11",FALSE,"seq_005","SMR_026","AC"
"15","AC_17","AC_17_3250593:3251593",3251093,-292,130359093,209,"NC_000010.11",FALSE,"seq_006","SMR_026","AC"
"16","AC_2","AC_2_9800510:9801604",9801010,262,130360360,87,"NC_000010.11",FALSE,"seq_007","SMR_026","AC"
"17","AC_2","AC_2_9800510:9801604",9801016,268,130360366,87,"NC_000010.11",FALSE,"seq_007","SMR_026","AC"
"18","AC_2","AC_2_9800510:9801604",9801040,292,130360390,87,"NC_000010.11",FALSE,"seq_007","SMR_026","AC"
"19","AC_2","AC_2_9800510:9801604",9801047,299,130360397,87,"NC_000010.11",FALSE,"seq_007","SMR_026","AC"
"20","AC_2","AC_2_9800510:9801604",9801104,356,130360454,87,"NC_000010.11",FALSE,"seq_007","SMR_026","AC"
"21","AC_2","AC_2_21838376:21839480",21838876,-271,130359345,316,"NC_000010.11",FALSE,"seq_008","SMR_026","AC"
"22","AC_2","AC_2_21838376:21839480",21838904,-243,130359373,316,"NC_000010.11",FALSE,"seq_008","SMR_026","AC"
