"","seq","methyl_pos","methyl_n"
"1","AS_CauratusV1_scaffold_1004_5993:8137","6493,6541,6622,7538,7637",5
"2","AS_CauratusV1_scaffold_1004_41950:43034","42450,42481,42502,42534",4
"3","AS_CauratusV1_scaffold_1004_6188:8440","6688,6695,6702,6727,6731,6745,6757,6764,6812,7711,7855,7867,7918,7940",14
"4","AS_CauratusV1_scaffold_1004_42101:43285","42601,42607,42629,42642,42647,42654,42657,42660,42666,42687,42695,42706,42718,42773,42785",15
"5","AS_CauratusV1_scaffold_1004_50999:52130","51499,51502,51507,51514,51544,51556,51559,51630",8
"6","AS_CauratusV1_scaffold_1008_21776:22776","22276",1
"7","AS_CauratusV1_scaffold_1016_18796:19867","19296,19346,19367",3
"8","AS_CauratusV1_scaffold_1016_22281:23331","22781,22800,22831",3
"9","AS_CauratusV1_scaffold_1019_33649:34825","34149,34186,34198,34215,34219,34248,34258,34289,34299,34319,34325",11
"10","AS_CauratusV1_scaffold_1019_33868:35000","34368,34373,34375,34381,34389,34401,34429,34500",8
"11","AS_CauratusV1_scaffold_1020_19575:20601","20075,20101",2
"12","AS_CauratusV1_scaffold_1022_26625:27646","27125,27146",2
"13","AS_CauratusV1_scaffold_1022_41286:42364","41786,41803,41816,41864",4
"14","AS_CauratusV1_scaffold_1022_26713:27879","27213,27287,27295,27375,27379",5
"15","AS_CauratusV1_scaffold_1029_15792:16901","16292,16320,16401",3
"16","AS_CauratusV1_scaffold_1029_23639:24794","24139,24146,24170,24199,24294",5
"17","AS_CauratusV1_scaffold_1029_31072:32072","31572",1
"18","AS_CauratusV1_scaffold_1029_40119:41236","40619,40736",2
"19","AS_CauratusV1_scaffold_1029_16012:17141","16512,16525,16539,16557,16616,16641",6
"20","AS_CauratusV1_scaffold_1029_23867:24985","24367,24380,24383,24485",4
"21","AS_CauratusV1_scaffold_1029_40340:41427","40840,40927",2
"22","AS_CauratusV1_scaffold_1031_13644:14727","14144,14180,14197,14227",4
"23","AS_CauratusV1_scaffold_1031_13813:14922","14313,14319,14345,14422",4
"24","AS_CauratusV1_scaffold_1040_423:1579","923,943,954,959,962,1018,1028,1051,1060,1065,1079",11
"25","AS_CauratusV1_scaffold_1045_20752:21752","21252",1
"26","AS_CauratusV1_scaffold_1045_43334:44484","43834,43851,43854,43879,43894,43952,43984",7
"27","AS_CauratusV1_scaffold_1045_43523:44742","44023,44091,44110,44114,44117,44128,44153,44159,44238,44242",10
"28","AS_CauratusV1_scaffold_1055_25648:26766","26148,26181,26185,26204,26266",5
"29","AS_CauratusV1_scaffold_1055_28737:29764","29237,29259,29264",3
"30","AS_CauratusV1_scaffold_1055_25933:27098","26433,26575,26595,26598",4
"31","AS_CauratusV1_scaffold_1056_17958:18958","18458",1
"32","AS_CauratusV1_scaffold_1062_13014:14014","13514",1
"33","AS_CauratusV1_scaffold_1062_32522:33642","33022,33040,33047,33054,33067,33074,33095,33142",8
"34","AS_CauratusV1_scaffold_1063_10074:11250","10574,10602,10676,10697,10750",5
"35","AS_CauratusV1_scaffold_1063_10308:11381","10808,10876,10881",3
"36","AS_CauratusV1_scaffold_1063_23999:25157","24499,24526,24555,24558,24652,24657",6
"37","AS_CauratusV1_scaffold_1063_26555:27555","27055",1
"38","AS_CauratusV1_scaffold_1063_30046:31205","30546,30597,30606,30614,30631,30636,30649,30705",8
"39","AS_CauratusV1_scaffold_1064_34730:35864","35230,35277,35287,35297,35364",5
"40","AS_CauratusV1_scaffold_1080_7418:8418","7918",1
"41","AS_CauratusV1_scaffold_1082_37875:38915","38375,38415",2
"42","AS_CauratusV1_scaffold_1082_37980:38980","38480",1
"43","AS_CauratusV1_scaffold_1084_34570:35616","35070,35116",2
"44","AS_CauratusV1_scaffold_1086_12046:13215","12546,12624,12704,12715",4
"45","AS_CauratusV1_scaffold_1086_25109:26274","25609,25744,25750,25757,25774",5
"46","AS_CauratusV1_scaffold_1086_8766:9901","9266,9401",2
"47","AS_CauratusV1_scaffold_1086_25373:26480","25873,25932,25970,25980",4
"48","AS_CauratusV1_scaffold_1089_11413:12499","11913,11917,11966,11988,11999",5
"49","AS_CauratusV1_scaffold_1089_36395:37410","36895,36904,36909,36934,37000,37007,37021,37038",8
"50","AS_CauratusV1_scaffold_1089_11529:12698","12029,12070,12091,12198",4
"51","AS_CauratusV1_scaffold_1100_17159:18293","17659,17675,17690,17697,17704,17709,17715,17717,17761,17784,17793",11
"52","AS_CauratusV1_scaffold_1100_17400:18430","17900,17927,17930",3
"53","AS_CauratusV1_scaffold_1104_15493:16676","15993,15999,16003,16007,16009,16031,16073,16087,16116,16123,16138,16142,16174,16176",14
"54","AS_CauratusV1_scaffold_1106_247:1369","747,750,757,762,771,792,802,811,869",9
"55","AS_CauratusV1_scaffold_1106_33304:34442","33804,33874,33932,33942",4
"56","AS_CauratusV1_scaffold_1117_25727:26808","26227,26233,26295,26308",4
"57","AS_CauratusV1_scaffold_1117_26046:27221","26546,26599,26607,26620,26651,26707,26721",7
"58","AS_CauratusV1_scaffold_1118_39068:40250","39568,39570,39750",3
"59","AS_CauratusV1_scaffold_1124_27382:28498","27882,27953,27998",3
"60","AS_CauratusV1_scaffold_1127_22898:24011","23398,23511",2
"61","AS_CauratusV1_scaffold_1127_13705:14714","14205,14208,14214",3
"62","AS_CauratusV1_scaffold_1131_32282:33422","32782,32785,32806,32809,32821,32833,32860,32922",8
