"","Chr","seq_names","pos_rgenome","pos_seq","pos_align","width_align","chr_align","aligned","seq_number","SMR","species"
"1","EH_Chr1","EH_Chr1_36488305:36489534",36488805,-13,130359987,171,"NC_000010.11",FALSE,"seq_001","SMR_026","EH"
"2","EH_Chr1","EH_Chr1_36488305:36489534",36488887,69,130360069,171,"NC_000010.11",TRUE,"seq_001","SMR_026","EH"
"3","EH_Chr1","EH_Chr1_36488305:36489534",36488903,85,130360085,171,"NC_000010.11",TRUE,"seq_001","SMR_026","EH"
"4","EH_Chr1","EH_Chr1_36488305:36489534",36488911,93,130360093,171,"NC_000010.11",TRUE,"seq_001","SMR_026","EH"
"5","EH_Chr1","EH_Chr1_36488305:36489534",36488947,129,130360129,171,"NC_000010.11",TRUE,"seq_001","SMR_026","EH"
"6","EH_Chr1","EH_Chr1_36488305:36489534",36488949,131,130360131,171,"NC_000010.11",TRUE,"seq_001","SMR_026","EH"
"7","EH_Chr1","EH_Chr1_36488305:36489534",36488989,171,130360171,171,"NC_000010.11",TRUE,"seq_001","SMR_026","EH"
"8","EH_Chr1","EH_Chr1_36488305:36489534",36488997,179,130360179,171,"NC_000010.11",FALSE,"seq_001","SMR_026","EH"
"9","EH_Chr1","EH_Chr1_36488305:36489534",36489003,185,130360185,171,"NC_000010.11",FALSE,"seq_001","SMR_026","EH"
"10","EH_Chr1","EH_Chr1_36488305:36489534",36489034,216,130360216,171,"NC_000010.11",FALSE,"seq_001","SMR_026","EH"
"11","EH_Chr12","EH_Chr12_14457640:14458903",14458140,294,130360490,120,"NC_000010.11",FALSE,"seq_002","SMR_026","EH"
"12","EH_Chr12","EH_Chr12_14457640:14458903",14458179,333,130360529,120,"NC_000010.11",FALSE,"seq_002","SMR_026","EH"
"13","EH_Chr12","EH_Chr12_14457640:14458903",14458195,349,130360545,120,"NC_000010.11",FALSE,"seq_002","SMR_026","EH"
"14","EH_Chr12","EH_Chr12_14457640:14458903",14458206,360,130360556,120,"NC_000010.11",FALSE,"seq_002","SMR_026","EH"
"15","EH_Chr12","EH_Chr12_14457640:14458903",14458211,365,130360561,120,"NC_000010.11",FALSE,"seq_002","SMR_026","EH"
"16","EH_Chr12","EH_Chr12_14457640:14458903",14458215,369,130360565,120,"NC_000010.11",FALSE,"seq_002","SMR_026","EH"
"17","EH_Chr12","EH_Chr12_14457640:14458903",14458222,376,130360572,120,"NC_000010.11",FALSE,"seq_002","SMR_026","EH"
"18","EH_Chr12","EH_Chr12_14457640:14458903",14458245,399,130360595,120,"NC_000010.11",FALSE,"seq_002","SMR_026","EH"
"19","EH_Chr12","EH_Chr12_14457640:14458903",14458253,407,130360603,120,"NC_000010.11",FALSE,"seq_002","SMR_026","EH"
"20","EH_Chr12","EH_Chr12_14457640:14458903",14458257,411,130360607,120,"NC_000010.11",FALSE,"seq_002","SMR_026","EH"
"21","EH_Chr12","EH_Chr12_14457640:14458903",14458264,418,130360614,120,"NC_000010.11",FALSE,"seq_002","SMR_026","EH"
"22","EH_Chr12","EH_Chr12_14457640:14458903",14458266,420,130360616,120,"NC_000010.11",FALSE,"seq_002","SMR_026","EH"
"23","EH_Chr12","EH_Chr12_14457640:14458903",14458269,423,130360619,120,"NC_000010.11",FALSE,"seq_002","SMR_026","EH"
"24","EH_Chr12","EH_Chr12_14457640:14458903",14458277,431,130360627,120,"NC_000010.11",FALSE,"seq_002","SMR_026","EH"
"25","EH_Chr12","EH_Chr12_14457640:14458903",14458282,436,130360632,120,"NC_000010.11",FALSE,"seq_002","SMR_026","EH"
"26","EH_Chr12","EH_Chr12_14457640:14458903",14458288,442,130360638,120,"NC_000010.11",FALSE,"seq_002","SMR_026","EH"
"27","EH_Chr12","EH_Chr12_14457640:14458903",14458327,481,130360677,120,"NC_000010.11",FALSE,"seq_002","SMR_026","EH"
"28","EH_Chr12","EH_Chr12_14457640:14458903",14458361,515,130360711,120,"NC_000010.11",FALSE,"seq_002","SMR_026","EH"
"29","EH_Chr12","EH_Chr12_14457640:14458903",14458368,522,130360718,120,"NC_000010.11",FALSE,"seq_002","SMR_026","EH"
"30","EH_Chr12","EH_Chr12_14457640:14458903",14458372,526,130360722,120,"NC_000010.11",FALSE,"seq_002","SMR_026","EH"
"31","EH_Chr12","EH_Chr12_14457640:14458903",14458374,528,130360724,120,"NC_000010.11",FALSE,"seq_002","SMR_026","EH"
"32","EH_Chr12","EH_Chr12_14457640:14458903",14458383,537,130360733,120,"NC_000010.11",FALSE,"seq_002","SMR_026","EH"
"33","EH_Chr12","EH_Chr12_14457640:14458903",14458403,557,130360753,120,"NC_000010.11",FALSE,"seq_002","SMR_026","EH"
"34","EH_Chr3","EH_Chr3_30317167:30318361",30317667,-403,130358980,60,"NC_000010.11",FALSE,"seq_003","SMR_026","EH"
"35","EH_Chr3","EH_Chr3_30317167:30318361",30317671,-399,130358984,60,"NC_000010.11",FALSE,"seq_003","SMR_026","EH"
"36","EH_Chr3","EH_Chr3_30317167:30318361",30317759,-311,130359072,60,"NC_000010.11",FALSE,"seq_003","SMR_026","EH"
