"","seq","methyl_pos","methyl_n"
"1","AC_1_52725:53827","53225,53285,53287,53302,53308,53327",6
"2","AC_1_797977:799046","798477,798497,798525,798546",4
"3","AC_1_814873:815926","815373,815377,815383,815405,815426",5
"4","AC_1_886779:887905","887279,887284,887298,887333,887339,887344,887354,887368,887381,887384,887390,887405",12
"5","AC_1_924955:925955","925455",1
"6","AC_1_932528:933638","933028,933065,933088,933093,933098,933103,933117,933138",8
"7","AC_1_1423381:1424463","1423881,1423933,1423946,1423963",4
"8","AC_1_1521260:1522313","1521760,1521777,1521779,1521785,1521813",5
"9","AC_1_1572136:1573136","1572636",1
"10","AC_1_2187950:2188995","2188450,2188495",2
"11","AC_1_2356336:2357440","2356836,2356851,2356857,2356868,2356879,2356888,2356899,2356921,2356940",9
"12","AC_1_2443047:2444105","2443547,2443561,2443599,2443601,2443605",5
"13","AC_1_2500520:2501612","2501020,2501024,2501029,2501040,2501056,2501062,2501072,2501094,2501112",9
"14","AC_1_2565965:2567023","2566465,2566471,2566523",3
"15","AC_1_2917747:2918831","2918247,2918264,2918271,2918289,2918324,2918328,2918331",7
"16","AC_1_2959629:2960756","2960129,2960169,2960256",3
"17","AC_1_2977073:2978166","2977573,2977588,2977592,2977624,2977663,2977666",6
"18","AC_1_3013001:3014057","3013501,3013534,3013543,3013557",4
"19","AC_1_3066803:3067892","3067303,3067392",2
"20","AC_1_3554433:3555433","3554933",1
"21","AC_1_3557956:3559068","3558456,3558467,3558474,3558480,3558498,3558500,3558514,3558516,3558525,3558528,3558557,3558560,3558568",13
"22","AC_1_3570077:3571104","3570577,3570601,3570604",3
"23","AC_1_3611486:3612569","3611986,3612069",2
"24","AC_1_3775002:3776047","3775502,3775547",2
"25","AC_1_3917702:3918822","3918202,3918208,3918221,3918223,3918232,3918234,3918247,3918262,3918268,3918271,3918280,3918295,3918300,3918303,3918322",15
"26","AC_1_4073783:4074852","4074283,4074346,4074352",3
"27","AC_1_4177007:4178090","4177507,4177562,4177578,4177590",4
"28","AC_1_4338885:4339925","4339385,4339425",2
"29","AC_1_4351440:4352446","4351940,4351946",2
