"","seq","methyl_pos","methyl_n"
"1","EH_Chr1_50486:51737","50986,50989,51025,51050,51065,51070,51074,51080,51084,51096,51103,51105,51111,51119,51135,51187,51212,51224,51237",19
"2","EH_Chr1_79728:80989","80228,80234,80298,80350,80474,80489",6
"3","EH_Chr1_429937:431056","430437,430440,430444,430474,430524,430532,430537,430552,430556",9
"4","EH_Chr1_520447:521591","520947,521005,521038,521041,521057,521073,521077,521082,521087,521091",10
"5","EH_Chr1_623261:624434","623761,623778,623786,623798,623934",5
"6","EH_Chr1_626519:627613","627019,627038,627047,627050,627085,627113",6
"7","EH_Chr1_643290:644401","643790,643803,643842,643889,643901",5
"8","EH_Chr1_659420:661043","659920,659932,659950,659981,660011,660068,660088,660097,660100,660103,660125,660129,660140,660150,660321,660324,660337,660340,660351,660358,660362,660365,660368,660371,660379,660382,660385,660415,660418,660437,660454,660470,660486,660497,660500,660503,660534,660543",38
"9","EH_Chr1_668890:670101","669390,669462,669555,669575,669593,669596,669601",7
"10","EH_Chr1_761438:762622","761938,761980,762001,762009,762024,762041,762058,762065,762070,762076,762082,762114,762119,762122",14
"11","EH_Chr1_818746:819919","819246,819259,819267,819283,819299,819326,819341,819362,819365,819395,819410,819419",12
"12","EH_Chr1_836355:837446","836855,836868,836904,836920,836926,836943,836946",7
"13","EH_Chr1_842423:843586","842923,842953,842962,842971,843010,843018,843023,843046,843053,843059,843080,843086",12
"14","EH_Chr1_846967:848168","847467,847506,847521,847529,847534,847537,847542,847548,847557,847564,847569,847572,847586,847591,847599,847611,847619,847624,847633,847645,847665,847668",22
"15","EH_Chr1_883029:884122","883529,883567,883611,883618,883622",5
"16","EH_Chr1_888171:889462","888671,888695,888698,888719,888743,888746,888767,888791,888815,888839,888863,888887,888909,888938,888941,888962",16
"17","EH_Chr1_1149833:1151044","1150333,1150362,1150390,1150401,1150406,1150410,1150419,1150429,1150433,1150462,1150465,1150474,1150495,1150512,1150517,1150544",16
"18","EH_Chr1_1153706:1154921","1154206,1154222,1154259,1154276,1154279,1154320,1154349,1154352,1154387,1154396,1154409,1154421",12
"19","EH_Chr1_1161408:1162634","1161908,1161912,1161921,1161931,1161944,1161949,1161957,1161991,1162002,1162012,1162017,1162026,1162035,1162038,1162049,1162059,1162072,1162092,1162109,1162134",20
