"","Chr","seq_names","pos_rgenome","pos_seq","pos_align","width_align","chr_align","aligned","seq_number","SMR","species"
"1","ZF_NC_007128.7","ZF_NC_007128.7_11294129:11296061",11294629,-205,130359537,75,"NC_000010.11",FALSE,"seq_001","SMR_026","ZF"
"2","ZF_NC_007128.7","ZF_NC_007128.7_11294129:11296061",11294639,-195,130359547,75,"NC_000010.11",FALSE,"seq_001","SMR_026","ZF"
"3","ZF_NC_007128.7","ZF_NC_007128.7_11294129:11296061",11294645,-189,130359553,75,"NC_000010.11",FALSE,"seq_001","SMR_026","ZF"
"4","ZF_NC_007128.7","ZF_NC_007128.7_11294129:11296061",11294651,-183,130359559,75,"NC_000010.11",FALSE,"seq_001","SMR_026","ZF"
"5","ZF_NC_007128.7","ZF_NC_007128.7_11294129:11296061",11294655,-179,130359563,75,"NC_000010.11",FALSE,"seq_001","SMR_026","ZF"
"6","ZF_NC_007128.7","ZF_NC_007128.7_11294129:11296061",11294684,-150,130359592,75,"NC_000010.11",FALSE,"seq_001","SMR_026","ZF"
"7","ZF_NC_007128.7","ZF_NC_007128.7_11294129:11296061",11294689,-145,130359597,75,"NC_000010.11",FALSE,"seq_001","SMR_026","ZF"
"8","ZF_NC_007128.7","ZF_NC_007128.7_11294129:11296061",11294700,-134,130359608,75,"NC_000010.11",FALSE,"seq_001","SMR_026","ZF"
"9","ZF_NC_007128.7","ZF_NC_007128.7_11294129:11296061",11294703,-131,130359611,75,"NC_000010.11",FALSE,"seq_001","SMR_026","ZF"
"10","ZF_NC_007128.7","ZF_NC_007128.7_11294129:11296061",11294705,-129,130359613,75,"NC_000010.11",FALSE,"seq_001","SMR_026","ZF"
"11","ZF_NC_007128.7","ZF_NC_007128.7_11294129:11296061",11295516,682,130360424,75,"NC_000010.11",FALSE,"seq_001","SMR_026","ZF"
"12","ZF_NC_007128.7","ZF_NC_007128.7_11294129:11296061",11295531,697,130360439,75,"NC_000010.11",FALSE,"seq_001","SMR_026","ZF"
"13","ZF_NC_007128.7","ZF_NC_007128.7_11294129:11296061",11295551,717,130360459,75,"NC_000010.11",FALSE,"seq_001","SMR_026","ZF"
"14","ZF_NC_007128.7","ZF_NC_007128.7_11294129:11296061",11295561,727,130360469,75,"NC_000010.11",FALSE,"seq_001","SMR_026","ZF"
"15","ZF_NC_007112.7","ZF_NC_007112.7_44546717:44547764",44547217,310,38813584,99,"NC_000013.11",FALSE,"seq_002","SMR_030","ZF"
"16","ZF_NC_007112.7","ZF_NC_007112.7_44546717:44547764",44547221,314,38813588,99,"NC_000013.11",FALSE,"seq_002","SMR_030","ZF"
"17","ZF_NC_007112.7","ZF_NC_007112.7_44546717:44547764",44547226,319,38813593,99,"NC_000013.11",FALSE,"seq_002","SMR_030","ZF"
"18","ZF_NC_007112.7","ZF_NC_007112.7_44546717:44547764",44547264,357,38813631,99,"NC_000013.11",FALSE,"seq_002","SMR_030","ZF"
"19","ZF_NC_007116.7","ZF_NC_007116.7_53008602:53009602",53009102,369,38813694,73,"NC_000013.11",FALSE,"seq_003","SMR_030","ZF"
"20","ZF_NC_007119.7","ZF_NC_007119.7_8211671:8212714",8212171,499,142937736,213,"NC_000008.11",FALSE,"seq_004","SMR_016","ZF"
"21","ZF_NC_007119.7","ZF_NC_007119.7_8211671:8212714",8212214,542,142937779,213,"NC_000008.11",FALSE,"seq_004","SMR_016","ZF"
"22","ZF_NC_007124.7","ZF_NC_007124.7_13170:14258",13670,-215,142936194,212,"NC_000008.11",FALSE,"seq_005","SMR_016","ZF"
"23","ZF_NC_007124.7","ZF_NC_007124.7_13170:14258",13732,-153,142936256,212,"NC_000008.11",FALSE,"seq_005","SMR_016","ZF"
