"","seq","methyl_pos","methyl_n"
"1","ZF_NC_007112.7_666:1666","1166",1
"2","ZF_NC_007112.7_11932:15380","12432,12436,13298,13304,13311,13318,13397,14086,14117,14121,14128,14131,14134,14138,14158,14189,14213,14834,14840,14853,14861,14880",22
"3","ZF_NC_007112.7_18365:19365","18865",1
"4","ZF_NC_007112.7_22774:23802","23274,23302",2
"5","ZF_NC_007112.7_28501:29544","29001,29004,29010,29026,29044",5
"6","ZF_NC_007112.7_30410:33838","30910,30912,30937,30941,30945,31097,31109,31121,31131,31282,31288,32245,32319,33224,33255,33266,33302,33333,33338",19
"7","ZF_NC_007112.7_37009:40389","37509,37540,37555,38081,38093,38106,38109,38111,38129,38133,38141,38178,38190,38208,38511,38515,38527,38535,38869,39650,39654,39678,39686,39691,39696,39711,39760,39771,39774,39785,39848,39858,39864,39870,39889",35
"8","ZF_NC_007112.7_42516:43529","43016,43029",2
"9","ZF_NC_007112.7_43617:44617","44117",1
"10","ZF_NC_007112.7_45329:47586","45829,45853,45855,45858,45889,45891,45894,45899,45931,45942,45944,45948,45964,45975,46008,46010,46016,46030,46032,46035,46042,46046,46057,47047,47086",25
"11","ZF_NC_007112.7_47968:49015","48468,48481,48515",3
"12","ZF_NC_007112.7_49248:50248","49748",1
"13","ZF_NC_007112.7_50792:51944","51292,51407,51419,51444",4
"14","ZF_NC_007112.7_52081:53112","52581,52591,52602,52612",4
"15","ZF_NC_007112.7_53598:54788","54098,54120,54288",3
"16","ZF_NC_007112.7_62131:63324","62631,62784,62794,62798,62803,62807,62816,62824",8
"17","ZF_NC_007112.7_65498:66498","65998",1
"18","ZF_NC_007112.7_66773:68237","67273,67280,67285,67294,67306,67570,67599,67605,67701,67703,67707,67713,67718,67728,67731,67737",16
"19","ZF_NC_007112.7_68446:69827","68946,68976,69001,69010,69014,69072,69108,69298,69327",9
"20","ZF_NC_007112.7_74536:75539","75036,75039",2
"21","ZF_NC_007112.7_89645:90916","90145,90351,90416",3
"22","ZF_NC_007112.7_91544:92575","92044,92075",2
"23","ZF_NC_007112.7_110155:111170","110655,110665,110670",3
"24","ZF_NC_007112.7_114335:115466","114835,114966",2
"25","ZF_NC_007112.7_116698:118010","117198,117207,117216,117225,117239,117246,117259,117277,117287,117311,117326,117343,117356,117358,117385,117390,117399,117420,117423,117432,117442,117444,117459,117482,117484,117510",26
"26","ZF_NC_007112.7_120559:121832","121059,121063,121303,121332",4
"27","ZF_NC_007112.7_122049:123080","122549,122555,122557,122580",4
"28","ZF_NC_007112.7_123987:125245","124487,124489,124495,124499,124529,124551,124554,124596,124599,124604,124615,124621,124629,124647,124668,124672,124676,124686,124699,124701,124726,124745",22
"29","ZF_NC_007112.7_132732:134106","133232,133240,133258,133261,133284,133295,133316,133412,133435,133438,133440,133453,133482,133492,133597,133602,133606",17
"30","ZF_NC_007112.7_139118:140233","139618,139640,139652,139661,139696,139718,139727,139733",8
"31","ZF_NC_007112.7_140500:141732","141000,141007,141030,141042,141048,141052,141058,141074,141177,141213,141216,141221,141225,141230,141232",15
"32","ZF_NC_007112.7_162238:163256","162738,162744,162756",3
"33","ZF_NC_007112.7_167584:168671","168084,168098,168103,168115,168119,168134,168136,168171",8
"34","ZF_NC_007112.7_169912:171265","170412,170449,170765",3
"35","ZF_NC_007112.7_173454:174504","173954,174004",2
"36","ZF_NC_007112.7_187024:188024","187524",1
"37","ZF_NC_007112.7_189156:190270","189656,189681,189715,189739,189766,189770",6
"38","ZF_NC_007112.7_191308:192308","191808",1
"39","ZF_NC_007112.7_200700:201735","201200,201223,201235",3
"40","ZF_NC_007112.7_202017:203019","202517,202519",2
"41","ZF_NC_007112.7_211631:212701","212131,212152,212201",3
"42","ZF_NC_007112.7_214390:215390","214890",1
"43","ZF_NC_007112.7_218132:219223","218632,218642,218650,218666,218671,218684,218704,218723",8
"44","ZF_NC_007112.7_223620:224705","224120,224131,224144,224148,224156,224166,224178,224191,224195,224197,224200,224205",12
"45","ZF_NC_007112.7_246896:247896","247396",1
"46","ZF_NC_007112.7_252387:253455","252887,252890,252955",3
"47","ZF_NC_007112.7_255125:257459","255625,255635,255638,255693,255702,255724,255726,255735,255778,255893,255896,256892,256896,256901,256927,256959",16
"48","ZF_NC_007112.7_287858:288909","288358,288409",2
"49","ZF_NC_007112.7_318142:319255","318642,318654,318657,318660,318674,318686,318728,318747,318755",9
"50","ZF_NC_007112.7_320704:321737","321204,321210,321237",3
"51","ZF_NC_007112.7_322789:324650","323289,323335,324059,324096,324150",5
"52","ZF_NC_007112.7_330883:332160","331383,331478,331507,331532,331562,331595,331599,331641,331660",9
"53","ZF_NC_007112.7_333706:334706","334206",1
"54","ZF_NC_007112.7_335642:336751","336142,336144,336147,336152,336155,336192,336217,336222,336244,336251",10
"55","ZF_NC_007112.7_345278:346324","345778,345804,345806,345816,345824",5
"56","ZF_NC_007112.7_349639:350642","350139,350142",2
"57","ZF_NC_007112.7_358403:359639","358903,358929,359131,359134,359139",5
"58","ZF_NC_007112.7_390177:391177","390677",1
"59","ZF_NC_007112.7_392831:394094","393331,393361,393556,393564,393594",5
"60","ZF_NC_007112.7_394739:395739","395239",1
"61","ZF_NC_007112.7_396969:397969","397469",1
"62","ZF_NC_007112.7_414624:415624","415124",1
"63","ZF_NC_007112.7_416228:417274","416728,416764,416774",3
"64","ZF_NC_007112.7_418591:419591","419091",1
"65","ZF_NC_007112.7_436645:437645","437145",1
"66","ZF_NC_007112.7_453968:455035","454468,454499,454518,454535",4
"67","ZF_NC_007112.7_473925:475104","474425,474431,474604",3
"68","ZF_NC_007112.7_476120:477167","476620,476667",2
"69","ZF_NC_007112.7_493846:494846","494346",1
"70","ZF_NC_007112.7_496369:497414","496869,496874,496904,496914",4
"71","ZF_NC_007112.7_499109:500109","499609",1
"72","ZF_NC_007112.7_509374:510444","509874,509887,509890,509903,509925,509944",6
"73","ZF_NC_007112.7_511451:512651","511951,511971,511977,511983,511998,512010,512091,512095,512117,512143,512151",11
"74","ZF_NC_007112.7_519943:521106","520443,520484,520495,520498,520516,520539,520581,520586,520603,520606",10
"75","ZF_NC_007112.7_521770:522961","522270,522277,522305,522317,522363,522398,522432,522439,522461",9
"76","ZF_NC_007112.7_529931:530962","530431,530438,530450,530462",4
"77","ZF_NC_007112.7_542111:543135","542611,542635",2
"78","ZF_NC_007112.7_548132:549150","548632,548650",2
"79","ZF_NC_007112.7_560368:561376","560868,560876",2
"80","ZF_NC_007112.7_604359:605445","604859,604865,604896,604902,604920,604929,604935,604945",8
"81","ZF_NC_007112.7_636820:638921","637320,637367,637372,637380,637397,637480,638346,638379,638391,638403,638416,638421",12
"82","ZF_NC_007112.7_645996:647063","646496,646530,646541,646563",4
"83","ZF_NC_007112.7_667029:668029","667529",1
"84","ZF_NC_007112.7_673369:674671","673869,673896,673915,674088,674118,674133,674171",7
"85","ZF_NC_007112.7_679713:681388","680213,680601,680815,680888",4
"86","ZF_NC_007112.7_691274:692909","691774,691778,692343,692350,692388,692406,692409",7
"87","ZF_NC_007112.7_694867:695971","695367,695382,695385,695388,695413,695421,695434,695445,695450,695471",10
"88","ZF_NC_007112.7_699806:700849","700306,700310,700317,700331,700336,700349",6
"89","ZF_NC_007112.7_704381:705426","704881,704895,704926",3
"90","ZF_NC_007112.7_706391:707427","706891,706921,706927",3
"91","ZF_NC_007112.7_712384:713499","712884,712893,712912,712981,712999",5
"92","ZF_NC_007112.7_713690:714789","714190,714289",2
"93","ZF_NC_007112.7_715054:716306","715554,715572,715597,715769,715806",5
"94","ZF_NC_007112.7_725262:726308","725762,725774,725792,725808",4
"95","ZF_NC_007112.7_747670:748714","748170,748174,748179,748184,748192,748207,748214",7
"96","ZF_NC_007112.7_750099:751865","750599,751365",2
"97","ZF_NC_007112.7_759767:760845","760267,760270,760273,760313,760345",5
"98","ZF_NC_007112.7_762398:763398","762898",1
"99","ZF_NC_007112.7_765170:766191","765670,765675,765691",3
"100","ZF_NC_007112.7_790681:791730","791181,791222,791230",3
"101","ZF_NC_007112.7_797002:798002","797502",1
"102","ZF_NC_007112.7_801917:802983","802417,802425,802435,802477,802481,802483",6
"103","ZF_NC_007112.7_803142:804374","803642,803667,803818,803874",4
"104","ZF_NC_007112.7_807315:808371","807815,807853,807868,807871",4
"105","ZF_NC_007112.7_813334:814853","813834,813838,813860,813877,814299,814301,814353",7
"106","ZF_NC_007112.7_831313:832397","831813,831816,831827,831837,831897",5
"107","ZF_NC_007112.7_833825:835430","834325,834343,834431,834444,834930",5
"108","ZF_NC_007112.7_836000:837251","836500,836722,836751",3
"109","ZF_NC_007112.7_843585:844626","844085,844126",2
"110","ZF_NC_007112.7_849646:850646","850146",1
"111","ZF_NC_007112.7_851582:852582","852082",1
"112","ZF_NC_007112.7_859647:860662","860147,860162",2
"113","ZF_NC_007112.7_863718:864718","864218",1
"114","ZF_NC_007112.7_880367:881398","880867,880898",2
"115","ZF_NC_007112.7_906468:907601","906968,906980,906983,906986,906992,906998,907035,907101",8
"116","ZF_NC_007112.7_913166:914761","913666,913689,913691,913697,913699,913724,913738,913740,913744,913941,913952,913966,913970,913974,913977,913983,913985,913993,914001,914207,914219,914225,914230,914237,914243,914245,914249,914255,914261",29
"117","ZF_NC_007112.7_919669:920673","920169,920173",2
"118","ZF_NC_007112.7_923033:924757","923533,923573,923578,923589,923594,924257",6
"119","ZF_NC_007112.7_927669:928735","928169,928223,928235",3
"120","ZF_NC_007112.7_940115:941184","940615,940623,940669,940684",4
"121","ZF_NC_007112.7_941741:942949","942241,942449",2
"122","ZF_NC_007112.7_953392:954392","953892",1
"123","ZF_NC_007112.7_959388:960388","959888",1
"124","ZF_NC_007112.7_964723:965827","965223,965241,965281,965289,965305,965320,965327",7
"125","ZF_NC_007112.7_969783:971029","970283,970287,970302,970361,970443,970529",6
"126","ZF_NC_007112.7_984580:985647","985080,985112,985118,985147",4
"127","ZF_NC_007112.7_987031:988070","987531,987565,987570",3
"128","ZF_NC_007112.7_998937:999955","999437,999439,999448,999455",4
"129","ZF_NC_007112.7_1014297:1015297","1014797",1
"130","ZF_NC_007112.7_1019035:1020035","1019535",1
"131","ZF_NC_007112.7_1048123:1049171","1048623,1048631,1048641,1048666,1048671",5
"132","ZF_NC_007112.7_1059693:1060693","1060193",1
"133","ZF_NC_007112.7_1077310:1078310","1077810",1
"134","ZF_NC_007112.7_1091357:1092357","1091857",1
"135","ZF_NC_007112.7_1107827:1109019","1108327,1108508,1108519",3
"136","ZF_NC_007112.7_1111626:1112626","1112126",1
"137","ZF_NC_007112.7_1118850:1119888","1119350,1119388",2
"138","ZF_NC_007112.7_1121258:1122258","1121758",1
"139","ZF_NC_007112.7_1137932:1138932","1138432",1
"140","ZF_NC_007112.7_1173630:1174651","1174130,1174151",2
"141","ZF_NC_007112.7_1185348:1186393","1185848,1185886,1185893",3
"142","ZF_NC_007112.7_1206888:1209196","1207388,1207395,1207400,1208393,1208408,1208504,1208667,1208669,1208696",9
"143","ZF_NC_007112.7_1218862:1219862","1219362",1
"144","ZF_NC_007112.7_1222058:1223417","1222558,1222575,1222874,1222904,1222917",5
"145","ZF_NC_007112.7_1241457:1242487","1241957,1241987",2
"146","ZF_NC_007112.7_1263890:1264976","1264390,1264405,1264427,1264433,1264445,1264460,1264476",7
"147","ZF_NC_007112.7_1280904:1281910","1281404,1281410",2
"148","ZF_NC_007112.7_1290208:1291280","1290708,1290780",2
"149","ZF_NC_007112.7_1294226:1295270","1294726,1294755,1294757,1294770",4
"150","ZF_NC_007112.7_1310651:1311651","1311151",1
"151","ZF_NC_007112.7_1326769:1327823","1327269,1327275,1327297,1327314,1327323",5
"152","ZF_NC_007112.7_1337857:1338857","1338357",1
"153","ZF_NC_007112.7_1349772:1350811","1350272,1350284,1350311",3
"154","ZF_NC_007112.7_1363484:1364664","1363984,1364012,1364018,1364045,1364054,1364056,1364063,1364066,1364069,1364088,1364093,1364125,1364131,1364140,1364144,1364164",16
"155","ZF_NC_007112.7_1366935:1367995","1367435,1367450,1367468,1367480,1367495",5
"156","ZF_NC_007112.7_1376982:1378053","1377482,1377491,1377501,1377517,1377530,1377536,1377553",7
"157","ZF_NC_007112.7_1394688:1396123","1395188,1395234,1395323,1395509,1395522,1395546,1395553,1395556,1395560,1395564,1395623",11
"158","ZF_NC_007112.7_1407740:1408787","1408240,1408287",2
"159","ZF_NC_007112.7_1410695:1411735","1411195,1411213,1411230,1411235",4
"160","ZF_NC_007112.7_1426290:1427924","1426790,1426814,1427374,1427387,1427416,1427420,1427424",7
"161","ZF_NC_007112.7_1453756:1455214","1454256,1454267,1454294,1454310,1454317,1454655,1454674,1454684,1454714",9
"162","ZF_NC_007112.7_1462673:1463736","1463173,1463217,1463236",3
"163","ZF_NC_007112.7_1473877:1474877","1474377",1
"164","ZF_NC_007112.7_1478766:1479826","1479266,1479291,1479307,1479326",4
"165","ZF_NC_007112.7_1480197:1482523","1480697,1480735,1480748,1480757,1481543,1481581,1481603,1481961,1481995,1482006,1482023",11
"166","ZF_NC_007112.7_1491970:1493029","1492470,1492479,1492505,1492529",4
"167","ZF_NC_007112.7_1496630:1498513","1497130,1497153,1497198,1498013",4
"168","ZF_NC_007112.7_1499511:1500511","1500011",1
"169","ZF_NC_007112.7_1507254:1508317","1507754,1507817",2
"170","ZF_NC_007112.7_1534571:1535595","1535071,1535081,1535088,1535095",4
"171","ZF_NC_007112.7_1540000:1541026","1540500,1540507,1540521,1540526",4
"172","ZF_NC_007112.7_1546033:1547099","1546533,1546570,1546573,1546575,1546599",5
"173","ZF_NC_007112.7_1549908:1550976","1550408,1550476",2
"174","ZF_NC_007112.7_1551428:1552567","1551928,1551935,1551958,1551965,1551972,1551977,1551988,1552024,1552049,1552051,1552064,1552067",12
"175","ZF_NC_007112.7_1580319:1581336","1580819,1580836",2
"176","ZF_NC_007112.7_1584560:1586161","1585060,1585096,1585575,1585588,1585595,1585647,1585661",7
"177","ZF_NC_007112.7_1591914:1593611","1592414,1593036,1593111",3
"178","ZF_NC_007112.7_1596884:1597909","1597384,1597409",2
"179","ZF_NC_007112.7_1630205:1631205","1630705",1
"180","ZF_NC_007112.7_1649599:1650649","1650099,1650149",2
"181","ZF_NC_007112.7_1671182:1672182","1671682",1
"182","ZF_NC_007112.7_1677856:1678894","1678356,1678371,1678379,1678394",4
"183","ZF_NC_007112.7_1718601:1719663","1719101,1719116,1719163",3
"184","ZF_NC_007112.7_1739201:1740542","1739701,1739703,1739707,1739741,1739756,1739764,1739980,1740042",8
